rate,valid_miles,weight,p_date_dfw,p_date_hour,p_date_month,p_date_quarter,p_date_dofy,p_date_monthall,newwm,transport_type_GJROY,transport_type_KFEGT,transport_type_MKPFX,origin_kma_AWWEE,origin_kma_CTJQI,origin_kma_DNDBK,origin_kma_DUXGP,origin_kma_FPZNC,origin_kma_GFKMC,origin_kma_GRIOF,origin_kma_HRQLD,origin_kma_JESUD,origin_kma_LFUHN,origin_kma_MJGXM,origin_kma_MJJOV,origin_kma_NTODX,origin_kma_NUTZC,origin_kma_OKPES,origin_kma_OMUOI,origin_kma_OQOLJ,origin_kma_PEXPT,origin_kma_PNBXA,origin_kma_QGHCU,origin_kma_QUERU,origin_kma_QWBPO,origin_kma_RCDSS,origin_kma_UKWZA,origin_kma_VCEUE,origin_kma_VRVHM,origin_kma_XNCMK,origin_kma_YXTDU,origin_kma_ZSZDM,origin_kma_other,destination_kma_AWWEE,destination_kma_DNDBK,destination_kma_FPZNC,destination_kma_HQWLT,destination_kma_HRQLD,destination_kma_IAZJQ,destination_kma_JESUD,destination_kma_KMMBI,destination_kma_KWGZQ,destination_kma_LFUHN,destination_kma_MJGXM,destination_kma_NPCXM,destination_kma_NSBMC,destination_kma_NTODX,destination_kma_NUTZC,destination_kma_OIANS,destination_kma_OKWUS,destination_kma_OMSVL,destination_kma_OQOLJ,destination_kma_PEXPT,destination_kma_PNBXA,destination_kma_QGHCU,destination_kma_QUERU,destination_kma_QWBPO,destination_kma_VCEUE,destination_kma_VJBFX,destination_kma_other,kmaend_CURU,kmaend_DUDX,kmaend_LDBI,kmaend_LJRU,kmaend_MCDX,kmaend_NCDX,kmaend_OFDX,kmaend_PODX,kmaend_UDDX,kmaend_UEVL,kmaend_other,predicted_rate
3.7814,712.5632,5351.0,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,3812925.6832000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7351507701483455
6.6884,805.9865,42111.25,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,33941098.998125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.9352935105036515
3.7735,952.7475,14609.7,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,13919355.15075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7351507701483455
8.496,65.462,7192.1,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,470809.25020000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.193872353290393
3.6423,1496.5464,6195.6451,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,9272070.37008264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7351507701483455
3.6544,535.7291,31465.55,0.0,20.0,9.0,3.0,248.0,1.1111111111111112,16857010.782505002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7351507701483455
3.7334,236.342,14281.95,0.0,21.0,9.0,3.0,248.0,1.1111111111111112,3375424.6269000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7351507701483455
5.1246,301.579,15611.0,0.0,21.0,9.0,3.0,248.0,1.1111111111111112,4707949.769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549696328915647
5.1603,220.144,5292.1,0.0,21.0,9.0,3.0,248.0,1.1111111111111112,1165024.0624000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.549696328915647
4.4557,383.904,24873.5,0.0,21.0,9.0,3.0,248.0,1.1111111111111112,9549036.144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.60637230844067
